X,Y,color,group,group_num,coverage,pc1_pcnt,pc2_pcnt
0.24585015,0.17753953,orange,barrier island,3,2.5,4.625356,3.2854
-0.117303275,0.0697647,blue,inland virginia,6,2.5,4.625356,3.2854
-0.052991666,0.0043730615,red,coastal mainland,5,2.5,4.625356,3.2854
-0.11810495,0.06755467,blue,maine,9,2.5,4.625356,3.2854
0.021099031,-0.08665612,red,coastal mainland,5,2.5,4.625356,3.2854
-0.019078847,-0.046553243,blue,chesapeake bay,4,3.5,4.372133,3.025886
-0.11502022,0.01016863,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.0467236,-0.086960085,gray,coastal mainland,5,3.5,4.372133,3.025886
-0.11452896,0.06682978,blue,maine,9,3.5,4.372133,3.025886
-0.04479602,-0.052115265,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.039144617,-0.007397971,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.013285244,-0.15728673,gray,coastal mainland,5,3.5,4.372133,3.025886
-0.04530315,-0.022718484,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.12580611,0.05524445,blue,maine,9,3.5,4.372133,3.025886
0.017849213,-0.17592727,gray,coastal mainland,5,3.5,4.372133,3.025886
-0.12767658,0.08654344,blue,inland virginia,6,3.5,4.372133,3.025886
-0.02401564,-0.042467054,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.049775947,-0.024695551,blue,coastal mainland,5,3.5,4.372133,3.025886
0.06826275,-0.17942992,pink,barrier island,1,3.5,4.372133,3.025886
-0.119210064,0.05742688,blue,maine,9,3.5,4.372133,3.025886
0.12503257,-0.13376996,pink,barrier island,2,3.5,4.372133,3.025886
-0.13545893,0.16502704,red,inland virginia,6,3.5,4.372133,3.025886
0.03005697,-0.09159919,pink,chesapeake bay,4,3.5,4.372133,3.025886
-0.115142465,0.050872743,blue,inland new york,8,3.5,4.372133,3.025886
-0.020136105,-0.0403732,blue,coastal mainland,5,3.5,4.372133,3.025886
0.23630802,0.18480712,orange,barrier island,3,3.5,4.372133,3.025886
-0.12926786,0.076734014,blue,inland maryland,7,3.5,4.372133,3.025886
0.119748294,-0.14852017,pink,barrier island,2,3.5,4.372133,3.025886
-0.124199614,0.06805209,blue,inland maryland,7,3.5,4.372133,3.025886
0.2939638,0.2945726,orange,barrier island,3,3.5,4.372133,3.025886
-0.053392664,0.00090196455,blue,coastal mainland,5,3.5,4.372133,3.025886
0.052088287,-0.0733254,pink,chesapeake bay,4,3.5,4.372133,3.025886
0.057955947,-0.1192812,pink,barrier island,1,3.5,4.372133,3.025886
-0.130292,0.07489887,blue,inland new york,8,3.5,4.372133,3.025886
0.24734423,0.17143257,orange,barrier island,3,3.5,4.372133,3.025886
-0.12298877,0.06578964,blue,maine,9,3.5,4.372133,3.025886
0.10359091,-0.1421847,pink,barrier island,2,3.5,4.372133,3.025886
0.08700587,-0.14157486,pink,barrier island,1,3.5,4.372133,3.025886
-0.025543332,-0.03774417,blue,coastal mainland,5,3.5,4.372133,3.025886
0.08325095,-0.13697524,pink,barrier island,1,3.5,4.372133,3.025886
0.30534756,0.31960255,orange,barrier island,3,3.5,4.372133,3.025886
-0.11727423,0.050139442,blue,maine,9,3.5,4.372133,3.025886
0.0778978,-0.14547843,pink,barrier island,1,3.5,4.372133,3.025886
-0.041428555,-0.019032473,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.037497267,-0.030422837,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.1260374,0.072721586,blue,inland maryland,7,3.5,4.372133,3.025886
-0.13490814,0.17230937,red,inland virginia,6,3.5,4.372133,3.025886
-0.123247355,0.07710939,blue,inland new york,8,3.5,4.372133,3.025886
0.24231537,0.15987788,orange,barrier island,3,3.5,4.372133,3.025886
0.08192184,-0.20622975,pink,barrier island,1,3.5,4.372133,3.025886
0.12300254,-0.20768505,pink,barrier island,2,3.5,4.372133,3.025886
